IMDb_Rank,IMDb_Name,IMDb_Release_Date,Director_EN,Actors_EN,IMDb_Rating_IM,IMDb_Votes,IMDb_Intro
119,Der Untergang,17 March 2005 (Hong Kong),Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes",8.2,"295,256","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
120,The Treasure of the Sierra Madre,24 January 1948 (USA),John Huston,"Humphrey Bogart, Walter Huston, Tim Holt",8.3,"98,065","Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains."
121,Die Hard,19 October 1988 (Hong Kong),John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia",8.2,"695,820","John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles."
122,Heat,7 March 1996 (Hong Kong),Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer",8.2,"508,298",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
123,Bohemian Rhapsody,1 November 2018 (Hong Kong),Bryan Singer,"Rami Malek, Lucy Boynton, Gwilym Lee",8.4,"125,700",A chronicle of the years leading up to Queen's legendary appearance at the Live Aid (1985) concert.
124,Ikiru,9 October 1952 (Japan),Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori",8.3,"55,957",A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
125,Incendies,21 April 2011 (Hong Kong),Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette",8.2,"116,782",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
126,Raging Bull,7 May 1981 (Hong Kong),Martin Scorsese,"Robert De Niro, Cathy Moriarty, Joe Pesci",8.2,"278,587","The life of boxer Jake LaMotta, as the violence and temper that leads him to the top in the ring destroys his life outside of it."
127,The Great Escape,23 January 1964 (Hong Kong),John Sturges,"Steve McQueen, James Garner, Richard Attenborough",8.2,"198,844",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
128,Bacheha-Ye aseman,13 May 1999 (Hong Kong),Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi",8.3,"47,936","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
129,Babam ve Oglum,18 November 2005 (Turkey),Çagan Irmak,"Çetin Tekindor, Fikret Kuskan, Hümeyra",8.4,"61,916",The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.
130,Pan's Labyrinth,15 March 2007 (Hong Kong),Guillermo del Toro,"Ivana Baquero, Ariadna Gil, Sergi López",8.2,"554,702","In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
131,Chinatown,26 March 1982 (Hong Kong),Roman Polanski,"Jack Nicholson, Faye Dunaway, John Huston",8.2,"257,526","A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
132,The Third Man,13 September 1951 (Hong Kong),Carol Reed,"Orson Welles, Joseph Cotten, Alida Valli",8.2,"138,580","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
