FilmName,enFID,BoxOffice
进京城,691925,1468.0
古剑奇谭之流月昭明,653406,1412.0
十二公民,627008,1404.0
咕噜咕噜美人鱼,628411,1395.0
黄玫瑰,673525,1394.0
提着心吊着胆,631232,1369.0
提着心吊着胆,631232,1369.0
上海王,640807,1365.0
上海王,640807,1365.0
吉祥如意,699907,1358.0
谋杀似水年华,630033,1350.0
情遇曼哈顿,656012,1348.0
情遇曼哈顿,656012,1348.0
我在耀瓷小镇等你,681675,1323.0
妙先生,693535,1313.0
年少轻狂,631359,1309.0
落跑吧，爱情,638757,1306.0
为你写诗,673542,1278.0
冰峰暴,671589,1277.0
李保国,680504,1277.0
分手再说我爱你,641972,1273.0
我的青春期,625944,1257.0
太阳升起的时刻,695532,1257.0
青蛙总动员,643854,1256.0
明天会好的,706395,1248.0
七月半之恐怖宿舍,629498,1228.0
三城记,617154,1224.0
港珠澳大桥,674197,1224.0
半条棉被,694219,1221.0
我叫哀木涕之山口山战记,644329,1216.0
战火中的芭蕾,639859,1211.0
道高一丈,641617,1207.0
西游记之再世妖王,642381,1192.0
别有动机,627833,1189.0
诡梦凶铃,642545,1177.0
桂香街,679558,1168.0
信仰者,676763,1161.0
喜马拉雅天梯,640871,1156.0
爱遍全球,704681,1154.0
再见，在也不见,630869,1148.0
宠物联盟,695361,1132.0
小明和他的小伙伴们,641546,1125.0
白雪公主之神秘爸爸,638409,1124.0
侠路相逢,680245,1122.0
青蛙王子历险记,676873,1122.0
大梦难忘,681849,1115.0
老阿姨,640892,1113.0
四个春天,674125,1107.0
在世界中心呼唤爱,640694,1106.0
发条城市,644004,1105.0
筷仙,641094,1083.0
心迷宫,630504,1078.0
龙骑侠,630525,1075.0
合法伴侣,674131,1067.0
天慕,678280,1066.0
摩尔庄园3：魔幻列车大冒险,618156,1064.0
黄大年,675812,1057.0
笔仙魔咒,639889,1047.0
大火种,638693,1044.0
撞死了一只羊,669252,1039.0
魔镜,628133,1039.0
情敌蜜月,629560,1036.0
回马亭,626499,1033.0
捍卫者,666713,1032.0
阿里巴巴三根金发,676874,1031.0
推理笔记,659563,1022.0
国酒,631280,1021.0
我是哪吒,641527,1018.0
异兽来袭,617233,1011.0
龟兔大作战,684593,1008.0
春天的马拉松,681662,1007.0
美容针,642158,1006.0
奇妙王国之魔法奇缘,696989,1005.0
闯入者,617612,1004.0
远去的牧歌,682178,1004.0
美食大冒险之英雄烩,678323,998.0
过春天,673920,996.0
说走就走之不说再见,642601,987.0
黑瞳,627524,986.0
仙球大战,658903,982.0
24小时：末路重生,671502,977.0
解码游戏,643976,969.0
纽约纽约,630583,955.0
变化中的中国·生活因你而火热,676869,953.0
平原上的夏洛克,695014,946.0
钢刀,608975,940.0
夏天19岁的肖像,640099,937.0
床下有人3,639743,929.0
在乎你,666570,918.0
爱我就陪我看电影,628715,910.0
最后一公里,675992,904.0
开罗宣言,627938,902.0
千顷澄碧的时代,701870,900.0
洛杉矶捣蛋计划,643570,898.0
我是马布里,627917,890.0
情况不妙,631427,887.0
小悟空,677988,881.0
那一场呼啸而过的青春,662620,877.0
妖医,627639,876.0
以爱为名,628794,872.0
惊魂电影院,627562,870.0
判我有罪,618587,866.0
燃点,673489,865.0
特别追踪,680364,864.0
时间去哪儿了,666112,854.0
夺命旅行,611503,853.0
半夜叫你别回头,631109,853.0
奥拉星：进击圣殿,638747,848.0
诱狼,637829,848.0
人怕出名猪怕壮,672657,838.0
北平会馆,693847,838.0
果宝特攻之水果大逃亡,631033,835.0
长江7号：超萌特攻队,628403,833.0
男神时代,627946,826.0
刺猬小子之天生我刺,613641,823.0
为国而歌,675118,822.0
泡沫之夏,628123,815.0
我是医生,662297,811.0
最长1枪,683559,811.0
战斗民族养成记,684504,806.0
又是一年三月三,676566,806.0
致我们终将到来的爱情,638755,805.0
育婴室,626534,805.0
脱皮爸爸,641843,803.0
大侦探霍桑,638565,801.0
萤火奇兵,643910,799.0
木兰：横空出世,640323,798.0
十三猎杀,674188,798.0
82号古宅,677909,798.0
秘果,640770,796.0
三更车库,616185,794.0
三更车库,616185,794.0
棒！少年,695054,789.0
掬水月在手,680585,789.0
浪漫天降,631690,785.0
浪漫天降,631690,785.0
少女佳禾,673859,785.0
魔轮,644103,784.0
不成问题的问题,640829,777.0
大喜临门,630772,777.0
大喜临门,630772,777.0
会痛的十七岁,644330,765.0
蜜月酒店杀人事件,628257,762.0
黑处有什么,642485,761.0
怪谈,630521,758.0
怪谈,630521,758.0
武陵山上的星光,639336,754.0
泰迪熊之玩具大战,644260,754.0
欲念游戏,654632,748.0
未择之路,641088,745.0
马小乐之玩具也疯狂,643746,742.0
笔仙诡影,640869,734.0
我为你喝彩,705222,733.0
非常父子档,644824,723.0
神兽金刚之青龙再现,653050,722.0
蓝色防线,701779,718.0
不期而遇,627813,714.0
玛格丽特的春天,660329,714.0
七月半2：前世今生,643850,709.0
童童的风铃密室,678895,703.0
星溪的三次奇遇,682062,691.0
一路绽放,662824,680.0
达道里,694140,679.0
香港大营救,619427,678.0
跟世俗说再见,641043,672.0
大寒,638262,670.0
气·球,677313,667.0
蜡笔总动员,630923,663.0
蜡笔总动员,630923,663.0
小公主艾薇拉与神秘王国,675739,662.0
六弄咖啡馆,637773,655.0
路边野餐,640198,648.0
我在故宫修文物,657753,647.0
小破孩大状元,692322,636.0
猛龙特囧,632370,635.0
猛龙特囧,632370,635.0
逗爱熊仁镇,666923,634.0
毛丰美,642478,632.0
点点星光,686418,629.0
斗龙战士之星印罗盘,640092,620.0
最萌身高差,627914,619.0
放飞理想,596436,614.0
放飞理想,596436,614.0
敦煌不了情,668229,612.0
一生只为一事来,683794,607.0
恐怖将映,642966,607.0
麦兵兵之夺宝联“萌”,631257,606.0
水墨大别山,637884,599.0
水墨大别山,637884,599.0
惊魂绣花鞋,641576,594.0
出山记,673059,593.0
白毛女,642530,588.0
猫脸老太太,638260,586.0
贫穷富爸爸,628208,586.0
汽车人总动员,639002,584.0
汽车人总动员,639002,584.0
飞奔去月球,702847,583.0
笔仙咒怨,667708,581.0
难忘的岁月,646950,579.0
马永贞之闸北决,699452,573.0
一路向前,638277,571.0
一路向前,638277,571.0
昆仑兄弟,673751,561.0
和田玉传奇,642970,560.0
警车联盟,680244,559.0
箭士柳白猿,596554,559.0
福星高照朱小八,681841,558.0
死亡游戏,643852,552.0
超级保镖,618766,552.0
文朝荣,677990,549.0
假如王子睡着了,657478,546.0
古井凶灵,654817,536.0
您一定不要错过,679588,528.0
原来如此,675867,526.0
诡娃,641998,526.0
疯狂梦幻城,684920,525.0
夜伴歌声,685859,525.0
太空熊猫英雄诞生,683710,524.0
笔仙撞碟仙,637652,523.0
零零后,660739,521.0
废柴老爸,639724,521.0
两只小猪之勇闯神秘岛,681179,519.0
国礼,673369,518.0
错爱迷踪,680646,517.0
当流星划过天际,597232,516.0
动物出击,683910,515.0
恶灵之门,641976,514.0
江南,693366,511.0
小公主艾薇拉与神秘王国2,695239,511.0
魔镜奇缘3,691771,509.0
禹神传之王者少年,679466,508.0
糖果世界大冒险,626990,506.0
剩女小爱,704664,504.0
恐怖理发店,640184,503.0
盲舞,672705,503.0
闯堂兔3囧囧时光机,638977,502.0
老人，孩子和外国人,642050,500.0
赤狼蚁,593416,500.0
民工·老大·老板,639837,500.0
来电不善,597026,500.0
音乐家,662802,498.0
宝贝，对不起,630519,498.0
那些女人,642989,496.0
龙拳小子,642220,496.0
山路十八湾,702206,496.0
鹭世界,674275,494.0
终极硬汉,628466,492.0
生活万岁,683620,492.0
20:16,641028,491.0
又见奈良,696069,489.0
吃货宇宙,674950,486.0
幽灵医院,644851,485.0
第一次的离别,682475,482.0
追凶十九年,693412,479.0
李学生,677432,477.0
藏羚王之雪域精灵,617391,477.0
借眼,643752,473.0
通灵姐妹,643220,471.0
横财局中局,672764,468.0
我是处女座,628862,468.0
胡杨的夏天,662547,467.0
捉妖学院,671358,463.0
S的秘密,663032,458.0
毕业作品,643625,457.0
萤火奇兵2：小虫不好惹,691817,455.0
聊斋新编之画皮新娘,640982,453.0
功夫四侠：勇闯地宫,672480,452.0
指甲刀人魔,660460,450.0
呆呆计划,637667,449.0
小猪班纳大电影之梦想大“帽”险,638997,449.0
窦娥奇冤,655935,447.0
复合大作战,686489,445.0
张震讲故事之合租屋,644267,443.0
给19岁的我自己,668711,439.0
八月,655812,437.0
青蛙王国之冰冻大冒险,642563,434.0
丑小鸭历险记,644443,432.0
垫底联盟,643330,430.0
恐怖游泳馆,629797,424.0
流浪地球：飞跃2020特别版,701993,418.0
魔都凶音,644374,415.0
黑暗迷宫,641425,412.0
天眼传奇,639428,411.0
枕边诡影,630112,407.0
卸甲归来,693962,407.0
为了这片土地,639518,406.0
人皮拼图,638658,406.0
西北风云,657725,403.0
寻找罗麦,618240,402.0
闺蜜心窍,614380,400.0
极地大反攻,608188,400.0
灵臆事件,628733,400.0
诡新娘,628843,400.0
暗夜良人,666590,399.0
阳台上,674300,398.0
荒村怨灵,641154,396.0
水果宝贝之水果总动员,626997,393.0
亲密旅行,680280,393.0
别告诉她,694336,392.0
不速之客,629547,392.0
灰猴,673972,388.0
恐怖禁忌之红旗袍,639810,387.0
穿越硝烟的歌声,630610,384.0
净地,672241,381.0
嘻哈英熊,657331,381.0
铁血阳泉,695322,380.0
花儿与歌声,693015,378.0
尺八·一声一世,691815,377.0
夜色撩人,639864,377.0
诡域新娘,668603,376.0
致敬英雄,683781,371.0
青春逗,665678,370.0
深宫怨灵,642169,370.0
死亡笔记,638004,369.0
丑娃娃,685654,365.0
如梦晋阳,678713,364.0
你美丽了我的人生,659657,363.0
古曼,642981,363.0
S4侠降魔记,642235,363.0
记忆碎片,643572,361.0
